model,variant_id,ndcg@10,risk_fit@10,rec_pop@10,ndcg@20,risk_fit@20,rec_pop@20,gini_index,catalog_coverage
BPR_MF,12,0.3680893588331276,0.8931487706939175,5.918917637025031,0.42100302745054363,0.8932648237892504,5.5023167667272,0.9569808880206958,0.6836228287841191
BPR_MF,13,0.3584261278098033,0.8927882848443729,5.862343717888703,0.4158175668393304,0.8930014031305643,5.50447321014167,0.9578491317835105,0.6339950372208437
BPR_MF,14,0.40690333519846994,0.8903065907971205,5.986789949832696,0.4568042774040369,0.8901393838871698,5.5666261046920535,0.9573617155680931,0.6600496277915633
BPR_MF,15,0.43556740025156715,0.8929576387884599,6.079776961234342,0.484484796803909,0.8923938565930848,5.637365647994642,0.9625390860773924,0.49503722084367247
BPR_MF,16,0.3853879172600732,0.8923317641025533,6.056776540830467,0.4419523732897911,0.891813740317832,5.619720737081715,0.9619419765511577,0.5645161290322581
BPR_MF,17,0.36050342739791463,0.8881600094401638,5.914959035485324,0.4156408333460202,0.8878911350663,5.586678625311321,0.9608314401474862,0.4478908188585608
BPR_MF,18,0.30918750650056,0.8851414748344114,6.130596486418245,0.3543322921887605,0.884412055612649,5.744773846137861,0.962937832939156,0.5248138957816377
BPR_MF,19,0.286547764906739,0.8826247562085334,6.2081496380622205,0.33125656075519544,0.8825196637576309,5.781795233247924,0.9627261803993412,0.5732009925558312
BPR_MF,20,0.2868836748551054,0.8852701791884168,6.276343222615252,0.33082261114422284,0.8846278383827867,5.844809227655903,0.9632527084732667,0.5632754342431762
BPR_MF,21,0.28050291160889684,0.8853462297199057,6.291019429932377,0.3237167538804544,0.8847325821405607,5.885569593233079,0.9665034997123281,0.3771712158808933
BPR_MF,22,0.2553585045439765,0.8863798387574264,6.234196569685369,0.3011614717786003,0.8848834507077001,5.835377531473974,0.9637307067396337,0.4975186104218362
BPR_MF,23,0.28153025031057705,0.8849324328608756,6.333202845528199,0.32640050629837136,0.8840749579790916,5.897346994079,0.9634910292493102,0.5397022332506204
BPR_MF,24,0.26733255449342175,0.885426465058576,6.212785120753708,0.31156644905280156,0.8845461175421971,5.873083133436077,0.9662616594378723,0.4739454094292804
BPR_MF,25,0.29931067144118917,0.8857562056803184,6.431648065979066,0.3393263521594242,0.8849029496226074,5.966809162432702,0.9659571627362145,0.456575682382134
BPR_MF,26,0.28991793697663154,0.8851408142032987,6.422131907032667,0.33131152893276394,0.8841040892748525,5.988229790135787,0.9665687966761789,0.4466501240694789
BPR_MF,27,0.3017223276177084,0.8861404716708786,6.410453249060076,0.34251040520889725,0.8851286906593707,5.974263233308663,0.9659384612717887,0.43300248138957814
BPR_MF,28,0.3110139000853129,0.8842587594861985,6.4127113198678485,0.35194563345343,0.8835277965760371,5.979374640616929,0.9644090912663994,0.5173697270471465
BPR_MF,29,0.2860897684362651,0.8846879408621279,6.419069979981601,0.32929581239733713,0.8837837021375975,5.986011754676488,0.9648218636055759,0.4913151364764268
BPR_MF,30,0.2589741490941854,0.8875093086247572,6.484239455909992,0.2952275614580005,0.8865476971085484,6.058961730891363,0.9656043807447867,0.5148883374689827
BPR_MF,31,0.31241227669257243,0.8903914724175399,6.470522414589832,0.35727699682418185,0.8899315922436755,6.0546965554293335,0.9645175069163792,0.5384615384615384
BPR_MF,32,0.29995204916637436,0.8909445876200774,6.4364888487891365,0.3461176894011564,0.8902648993600805,6.07121283162951,0.9642341932645293,0.4987593052109181
BPR_MF,33,0.28800809804182237,0.8896845258601053,6.404166768360714,0.33244804120458343,0.8892981682602967,6.046827839415773,0.9620034938530684,0.5285359801488834
BPR_MF,34,0.2909464342146801,0.8878098635902796,6.506090351004628,0.3342770342182402,0.8874472954008863,6.134335818933927,0.9661219765867857,0.38461538461538464
BPR_MF,35,0.27265313660673307,0.8869539039535658,6.46549056013694,0.31499456480429877,0.8864208109606505,6.107714789150761,0.9632642229729536,0.532258064516129
BPR_MF,36,0.2679542466674656,0.8888432056174238,6.55073554258135,0.3104348558828862,0.8882811050264403,6.140150185418787,0.9641061932270056,0.5049627791563276
BPR_MF,37,0.2584668220039541,0.888193425529081,6.541153121221282,0.29836251186693946,0.8878341828228091,6.1322137564987935,0.9637293684274113,0.5124069478908189
BPR_MF,38,0.24583142565485044,0.8870833956624373,6.435034397005312,0.2884860264924748,0.8867888678543153,6.0939460789956295,0.9625326034852244,0.46029776674937967
BPR_MF,39,0.23407695999014044,0.8895196664901077,6.481999322158149,0.27189556519480107,0.8891252239850724,6.105311855016751,0.9606274017750529,0.5992555831265509
BPR_MF,40,0.2062697387426807,0.8873834011230332,6.567522724123778,0.24098823608636386,0.8867517173028703,6.184472943906718,0.9643236679956506,0.4838709677419355
BPR_MF,41,0.202694283283729,0.8879202828695691,6.540946385447273,0.23820831656834685,0.887077981953463,6.168256330891635,0.9637481560844019,0.5049627791563276
BPR_MF,42,0.19275022194605768,0.8867422387092512,6.5604825323474225,0.2290101565285475,0.8859302606706122,6.164898345605007,0.9622309260680337,0.5483870967741935
BPR_MF,43,0.14345922623147667,0.886351939722781,6.556123670256349,0.17695482274679503,0.8855414737512038,6.200607447700227,0.964235355018765,0.3511166253101737
BPR_MF,44,0.13318775178598027,0.8856820277746772,6.374953588244507,0.1664393658368816,0.8851495129729758,6.12436752450032,0.9620699923347582,0.4143920595533499
BPR_MF,45,0.12310807654168883,0.8873396440952414,6.48869503048102,0.15632300996549894,0.8866157444164203,6.176605956859357,0.9638331944260285,0.36352357320099254
BPR_MF,46,0.1155821667879248,0.8840299032147264,6.259651633209661,0.1476364133248903,0.8846005319771298,6.043214086888786,0.9593068018924109,0.3759305210918114
BPR_MF,47,0.10159209941339639,0.8892233305966057,6.383829643024809,0.1315348370264294,0.8883822508929444,6.122688612472887,0.960524075599499,0.4218362282878412
BPR_MF,48,0.09321461222989322,0.8868319007643585,6.191368530125538,0.12379750797563396,0.8868635541184615,5.99837507179155,0.9573996593888172,0.3014888337468983
BPR_MF,49,0.08843188981877882,0.8874481823360332,6.540695136399935,0.11551777446862137,0.8868594999986658,6.2269607315110465,0.9634722801852715,0.39826302729528534
NCF,0,0.18507302980762094,0.8774170147013083,5.4981959917639385,0.21773904067017674,0.8777788828234766,5.115233322878382,0.9656172549720936,0.11042183622828784
NCF,1,0.1993235623099324,0.8810998994016562,5.636166818000287,0.23289332860893308,0.8817246721088292,5.191312326694644,0.9629199287169175,0.10918114143920596
NCF,2,0.2154925502430693,0.8819069291878996,5.7312287900498236,0.2558936537844024,0.8823067386476459,5.311965773400688,0.9644166454999576,0.11166253101736973
NCF,3,0.25767996384106107,0.8876228389022517,5.86296313831383,0.2988659395346514,0.8881019326242183,5.420537413566613,0.9636491159770593,0.1141439205955335
NCF,4,0.30014880298054225,0.890052650722571,5.982586235447812,0.342746508443193,0.8903703786680685,5.53429519502712,0.9650402819378787,0.11538461538461539
NCF,5,0.30655965248756484,0.8893178399311339,5.9618674698314,0.3550178810334884,0.8899810920516255,5.506832102824067,0.9624465246731368,0.12406947890818859
NCF,6,0.32387617300805066,0.8895466962466606,5.972913957938469,0.37088320611982356,0.8898237561298024,5.502745605460551,0.9622802974717848,0.12903225806451613
NCF,7,0.32223381733357476,0.8910769508950449,5.987231106217397,0.3737179326450801,0.8914337916880879,5.561057706259812,0.9643948118243355,0.11910669975186104
NCF,8,0.3547504813455283,0.8924278123257962,5.994892121085845,0.4043186083413683,0.8922661494323723,5.513206159124373,0.9624620700347737,0.11910669975186104
NCF,9,0.3578944994436767,0.89269804986828,6.006588480691426,0.4079693545487119,0.8927365861449251,5.53709688747678,0.962374710736889,0.12903225806451613
NCF,10,0.36244526168403846,0.8917237949386843,6.016577163720543,0.4114079639388101,0.8919366442860486,5.560472873142204,0.9636548941662828,0.12034739454094293
NCF,11,0.3763670209166574,0.89225731790133,6.04938243432162,0.4256451086157481,0.8922303343879895,5.57811315873831,0.9645798840917192,0.11538461538461539
